Are you a fresher?,Do you want the college to reopen?,How many semesters have you spent on MS Teams?,Do you miss offline classes?,Do you think we should get more holidays/semester breaks?,Do you think online classes are affecting our mental health?,Do you face technical difficulties while attending online classes?,Do you think we are missing a lot of learning opportunities because of these online classes?,How was your experience of exams conducted on Codetantra?,Do you think 2 hours are enough for solving the FAT questions?
No,Yes,more than 3 semesters,Yes,Strongly Agree,Agree,Very often,Strongly Agree,Nice,Disagree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Very bad,Strongly Disagree
No,Yes,3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Good,Disagree
No,Yes,3 semesters,Yes,Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Disagree
No,No,3 semesters,No,Strongly Agree,Maybe,Very often,Agree,Bad,Disagree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Bad,Agree
No,Yes,more than 3 semesters,Yes,Strongly Disagree,Strongly Disagree,Very often,Strongly Disagree,Very bad,Strongly Disagree
No,No,3 semesters,No,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Strongly Disagree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Nice,Maybe
No,Yes,more than 3 semesters,No,Strongly Agree,Maybe,Rarely,Agree,Good,Disagree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Strongly Disagree
Yes,Yes,1 semester,Yes,Agree,Strongly Disagree,Rarely,Maybe,Nice,Disagree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Strongly Disagree
No,Yes,3 semesters,Yes,Strongly Agree,Agree,Rarely,Maybe,Nice,Disagree
No,No,more than 3 semesters,No,Strongly Agree,Maybe,Rarely,Agree,Nice,Agree
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Rarely,Strongly Agree,Bad,Disagree
Yes,Yes,1 semester,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Very bad,Strongly Disagree
Yes,No,1 semester,No,Strongly Agree,Maybe,Rarely,Maybe,Bad,Disagree
Yes,Yes,1 semester,Yes,Maybe,Disagree,Very often,Maybe,Bad,Maybe
No,Yes,more than 3 semesters,Yes,Strongly Agree,Strongly Agree,Very often,Strongly Agree,Good,Strongly Agree
Yes,Yes,1 semester,Yes,Strongly Agree,Agree,Very often,Agree,Nice,Maybe
